State,Zipcode,Latitude,Longitude,Bedroom,Bathroom,Area,ConvertedLot,MarketEstimate,Price
AL,35984,34.544693,-85.59335,3,3.0,3000,4.6,372700,395000
AL,36022,32.549854,-86.39342,3,2.0,1718,1.58,220100,224900
AL,36604,30.679043,-88.05847,2,1.0,868,0.15,194100,195000
AL,36109,32.37769,-86.26625,3,1.0,1217,0.18939394,80700,82000
AL,36567,30.623487,-87.43762,3,2.0,1620,6.0,581800,588000
AL,36264,33.635853,-85.58274,4,2.0,1736,0.08,250000,249900
AL,35444,33.216934,-87.31431,3,2.0,1612,0.74,259500,259900
AL,35802,34.704407,-86.559586,4,2.0,2445,1.0,448800,449000
AL,36532,30.484615,-87.91138,4,5.0,4317,0.98,1979700,2000000
AL,35756,34.698223,-86.79937,3,2.0,2132,0.45,354800,355000
AL,35228,33.473877,-86.89063,4,2.0,1089,0.15,21400,127500
AL,36352,31.222616,-85.65402,4,3.0,2213,0.65,326500,329900
AL,36301,31.155933,-85.42003,4,3.0,2798,1.45,330000,330000
AL,35212,33.53927,-86.7564,3,2.0,1159,0.19,38400,40000
AL,35150,33.19733,-86.23693,3,3.0,2494,0.32,299500,300000
AL,35555,33.751877,-87.79632,5,2.0,2408,1.3,91200,100000
AL,35057,34.051373,-86.946335,3,2.0,3266,2.0,319800,329000
AL,36853,32.83792,-85.79874,2,2.0,1082,4.4,173500,185000
AL,35135,33.65569,-86.17827,3,2.0,2245,3.0,276200,275600
AL,35749,34.854713,-86.74925,2,2.0,1740,0.29,136900,137000
AL,36609,30.674017,-88.1731,4,3.0,2666,0.4608,394500,394500
AK,99654,61.533855,-149.51038,5,2.0,2409,1.02,547000,558000
AK,99669,60.487514,-151.107,3,3.0,1578,0.42,358000,359900
AK,99507,61.14716,-149.81871,4,3.0,2153,0.16,479900,475000
AK,99504,61.218266,-149.73889,1,1.0,500,0.57,298400,129000
AK,99515,61.095856,-149.85063,4,3.0,3031,0.4,678600,677000
AK,99517,61.17928,-149.92183,4,3.0,2022,0.16,485900,485000
AK,99709,64.94744,-147.86285,2,2.0,1450,2.8,465000,469900
AK,99567,61.394936,-149.44946,2,1.0,1008,1.62,325400,325000
AK,99623,61.627693,-149.58012,3,3.0,1592,2.25,412200,414000
AK,99504,61.208008,-149.76546,2,1.0,720,0.13,275100,270000
AK,99611,60.528744,-151.128,4,2.0,1572,0.97,323000,325000
AK,99705,64.76754,-147.32072,3,2.0,1744,0.9,211300,224900
AK,99517,61.183887,-149.9138,4,2.0,1344,0.22,291200,290000
AK,99709,64.81095,-147.97069,4,4.0,4000,1.9,829400,839000
AK,99507,61.163013,-149.82256,2,1.0,1040,0.09,253300,249900
AK,99515,61.112778,-149.92422,4,3.0,2300,0.19,659200,659000
AK,99654,61.614597,-149.48586,3,2.0,1650,1.28,414300,415000
AK,99577,61.352028,-149.55296,3,3.0,2901,0.75,492600,489850
AK,99645,61.489376,-149.11653,3,1.0,1058,0.5,288100,289000
AK,99504,61.20605,-149.77574,2,1.0,884,0.13,290400,285000
AK,99645,61.612583,-149.21748,4,3.0,2250,0.46,581000,585000
AK,99654,61.601414,-149.50266,4,3.0,2404,0.92,488700,490000
AK,99672,60.551025,-150.62386,0,0.0,900,9.77,148300,150000
AK,99688,61.73482,-150.10092,3,2.0,1204,1.31,184500,185000
AK,99567,61.410095,-149.45197,2,1.0,952,0.16,221300,114900
AK,99603,59.643574,-151.57913,1,1.0,364,1.0,187100,189000
AK,99709,64.85694,-147.79355,3,2.0,2092,0.15610652,272100,275000
AK,99737,63.94355,-145.7706,4,3.0,3096,0.4,282300,290000
AK,99901,55.34778,-131.64871,3,2.0,1822,0.5222222,571600,577000
AK,99801,58.363663,-134.64055,3,2.0,1501,0.28829202,552500,556000
AK,99623,61.560936,-149.71873,5,4.0,3417,1.24,695600,700000
AK,99705,64.73084,-147.27373,3,2.0,2072,1.022,371100,375000
AK,99504,61.22207,-149.72078,3,2.0,1188,0.09,229900,225000
AK,99577,61.28956,-149.53476,4,4.0,3471,1.11,626000,625000
AK,99654,61.54586,-149.397,7,6.0,6538,2.0,1197200,1200000
AK,99701,64.84053,-147.69493,3,3.0,1550,0.2,382700,405000
AK,99709,64.83514,-147.7887,3,2.0,1344,0.14876033,311900,315000
AK,99508,61.224796,-149.82109,3,2.0,1258,0.15,186500,186000
AK,99709,64.89696,-147.80653,3,2.0,2224,4.9,423500,429900
AK,99654,61.61975,-149.30283,2,2.0,994,0.99,298600,300000
AK,99705,64.80241,-147.44412,3,1.0,1212,1.0,199800,202000
AK,99712,64.8643,-147.67043,4,3.0,2016,1.0,375400,379900
AK,99705,64.75472,-147.2877,3,2.0,2291,1.895,363100,367900
AK,99709,64.94929,-147.84753,2,1.0,1650,1.886,270400,274900
AK,99705,64.77279,-147.29453,3,2.0,1350,1.0,346600,349900
AK,99502,61.154175,-149.9717,4,4.0,3507,0.19,678300,674900
AK,99516,61.107517,-149.84268,4,3.0,2279,0.19,600000,599900
AK,99669,60.482533,-151.17691,3,2.0,1484,1.0,346900,349000
AK,99674,61.729027,-148.87659,2,1.0,912,5.0,251800,253000
AK,99645,61.602444,-149.17441,3,2.0,1808,0.46,498700,499000
AK,99603,59.68725,-151.46379,2,1.0,1386,0.92,380500,383000
AK,99645,61.597717,-149.12163,2,1.0,1032,0.17,214600,215000
AK,99835,57.04366,-135.28293,4,3.0,2520,0.2586777,773900,785000
AK,99705,64.8366,-147.367,2,2.0,1024,0.9,132900,135000
AK,99611,60.495937,-151.2516,3,3.0,1610,5.41,545900,549000
AK,99901,55.35679,-131.68016,3,2.0,1716,0.12828283,651700,659000
AK,99705,64.725945,-147.2922,3,1.0,1600,0.5,322600,327500
AK,99645,61.579117,-149.0983,3,2.0,1479,0.47,350100,349900
AK,99709,64.842964,-147.84245,3,2.0,1120,0.16099633,285700,294000
AK,99611,60.694294,-151.23827,4,4.0,3614,6.33,673200,679000
AK,99508,61.207573,-149.81653,3,2.0,1389,0.17,290400,285000
AK,99669,60.5033,-151.08553,4,3.0,1739,0.43,356300,359000
AK,99663,59.473232,-151.6438,1,1.0,768,3.03,195400,199000
AK,99654,61.543198,-149.42686,3,2.0,1922,0.92,279500,280000
AK,99515,61.103405,-149.8487,4,2.0,2151,0.2,450500,449900
AK,99654,61.64819,-149.40068,4,4.0,3984,10.0,398700,399900
AK,99623,61.521523,-149.62074,3,3.0,1984,0.46,389800,392000
AK,99623,61.41078,-149.834,3,2.0,1451,1.0,293800,295000
AK,99709,64.84061,-148.05885,1,0.0,400,6.7,121300,124900
AK,99515,61.133774,-149.92372,4,4.0,6906,1.35,1996700,2000000
AK,99516,61.051434,-149.78645,3,3.0,2428,0.23,575700,575000
AK,99833,56.811214,-132.95335,4,2.0,1150,0.17,296300,299000
AK,99603,59.65254,-151.52077,4,2.0,2352,0.22,320400,439000
AK,99669,60.490456,-151.1793,3,2.0,2261,4.34,611200,615000
AK,99654,61.62102,-149.39632,2,1.0,910,0.54,268000,269000
AK,99712,64.89673,-147.60274,3,3.0,1912,0.9,361900,365000
AK,99504,61.21728,-149.72884,3,2.0,1456,0.24,352400,349000
AK,99623,61.533012,-149.64883,3,3.0,2138,0.92,348500,350000
AK,99801,58.294,-134.43446,4,4.0,2588,0.18939394,719500,725000
AK,99507,61.154137,-149.84038,6,4.0,3846,0.19,687200,685000
AK,99705,64.82948,-147.53612,3,1.0,1028,0.8439624,274000,279900
AK,99517,61.19225,-149.9337,6,3.0,3000,0.14,499700,499900
AK,99705,64.77156,-147.35696,1,1.0,600,0.9,212000,214900
AK,99705,64.79873,-147.55183,4,3.0,2400,0.6,268500,274900
AK,99705,64.84235,-147.35379,3,1.0,1026,1.0,272400,275000
AK,99518,61.155807,-149.897,3,2.0,1988,0.22,277900,275000
AK,99645,61.487804,-149.11386,3,3.0,2025,0.46,249600,249900
